Day in Study     left hand hours     left hand error     right hand hours     right hand error
------------     ---------------     ---------------     ----------------     ----------------
0                     7.45                4.44                6.95                 4.43 
1                     15.48               8.42                14.91                8.40 
2                     13.73               10.44               13.49                9.07 
3                     12.90               9.45                12.24                9.35 
4                     14.35               9.94                14.74                8.67 
5                     13.83               9.35                15.06                8.14 
6                     13.04               9.58                15.28                8.38 
7                     13.91               9.46                15.07                8.31 
8                     13.27               9.05                14.25                8.90 
9                     13.23               9.59                13.09                8.62 
10                    12.95               9.07                13.65                9.20 
11                    14.30               9.22                13.80                9.27 
12                    15.81               7.87                12.64                8.91 
13                    15.88               8.30                13.51                8.90 
14                    16.53               8.59                15.99                8.44 
15                    15.02               7.90                15.31                7.90 
16                    15.05               8.68                14.76                8.40 
17                    14.93               8.53                13.39                8.86 
18                    14.97               9.75                13.81                8.85 
19                    13.86               9.63                14.78                9.28 
20                    14.13               9.24                14.65                9.32 
21                    15.77               8.99                14.23                9.16 
22                    15.10               8.42                14.01                8.26 
23                    13.22               9.21                14.53                8.50 
24                    14.92               9.51                15.24                8.78 
25                    15.38               8.75                15.41                8.14 
26                    15.16               9.21                15.58                8.52 
27                    14.85               8.85                15.83                7.75 
28                    15.64               8.47                14.75                7.90 
29                    16.00               8.34                15.11                8.17 
30                    14.71               9.25                13.08                8.64 
31                    15.34               8.63                14.11                8.65 
32                    15.64               8.92                13.76                8.44 
33                    15.44               8.57                13.54                8.89 
34                    15.31               9.33                13.35                8.86 
35                    14.38               8.62                14.74                8.90 
36                    15.17               8.86                15.41                8.32 
37                    14.14               9.26                14.11                8.10 
38                    14.89               9.39                15.26                8.81 
39                    13.68               9.44                14.84                8.36 
40                    12.69               9.42                14.93                7.94 
41                    13.90               9.63                16.36                7.30 
42                    12.72               9.38                14.39                8.65 
43                    13.91               9.04                16.04                7.93 
44                    14.71               8.49                15.24                7.87 
45                    14.85               9.50                14.01                8.93 
46                    16.15               7.99                14.10                8.29 
47                    14.79               8.70                12.07                9.43 
48                    14.88               8.68                11.63                9.75 
49                    14.64               8.57                10.41                9.71 
50                    16.06               7.51                11.64                9.03 
51                    18.80               6.59                13.89                9.87 
52                    16.15               8.52                15.04                8.43 
53                    15.94               8.02                13.23                8.83 
54                    14.91               8.14                14.58                8.22 
55                    14.99               7.49                14.79                7.11 
56                    17.29               7.48                17.23                7.00 
57                    17.47               7.60                15.30                7.75 
58                    14.74               8.67                14.55                6.97 
59                    16.46               9.19                9.59                 8.25 
60                    12.70               10.03               12.34                8.29 
61                    11.07               9.00                8.84                 8.70 
62                    10.52               9.20                7.09                 5.17 
63                    8.50                9.87                0.97                 1.38 
64                    3.72                3.72                0.00                 0.00 
65                    0.00                0.00                0.00                 0.00 
66                    0.00                0.00                0.00                 0.00 
67                    0.00                0.00                0.00                 0.00 
68                    0.00                0.00                0.00                 0.00 
69                    0.00                0.00                                          
70                    0.00                0.00                                          
71                    0.00                0.00                                          
72                    0.00                0.00                                          
