Participant     Left Hand     Right Hand
-----------     ---------     ----------
M001              19.15         19.98    
M002              17.85         19.68    
M004              19.32         18.71    
M005              14.19         16.12    
M006              13.97         13.39    
M007              1.35          1.59     
M008              19.73         18.61    
M011              16.10         11.11    
M012              21.15         17.11    
M013              16.39         17.80    
M014              14.97         17.18    
M015              5.20          4.82     
M016              18.00         17.72    
M017              13.68         17.67    
M018              10.22         8.79     
M020              18.24         11.58    
M021              16.31         13.27    
M022              15.92         13.28    
M029              14.76         11.94    
M030              20.55         19.24    
M031              10.41         7.54     
M033              9.13          7.04     
M034              19.69         20.77    
M037              15.13         11.73    
M039              16.67         14.74    
M042              7.78          8.43     
M045              10.98         17.63    
M047              17.92         12.46    
M048              2.19          1.27     
M049              1.81          7.12     
-----------     ---------     ----------
Total             14.53         14.02
